Unnamed: 0,driving exp,since,age,gender,education,income,SoC,distance,charging fee,charge,ch
176,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,15,normal,0.93296665,1
177,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,15,above normal,0.78452784,1
178,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,30,below normal,0.89524657,1
179,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,30,normal,0.80851084,1
180,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,30,above normal,0.61995125,0
181,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,0,below normal,0.9367488,1
182,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,0,normal,0.8533803,1
183,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,0,above normal,0.42210776,0
184,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,15,below normal,0.8245477,1
185,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,15,normal,0.69895786,0
186,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,15,above normal,0.4050367,0
187,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,30,below normal,0.587745,0
188,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,30,normal,0.4132671,0
189,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,30,above normal,0.25815052,0
190,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,0,below normal,0.9821107,0
191,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,0,normal,0.9339791,1
192,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,0,above normal,0.20581283,0
193,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,15,below normal,0.9486377,1
194,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,15,normal,0.8956679,1
195,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,15,above normal,0.13822731,0
196,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,30,below normal,0.85281557,1
197,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,30,normal,0.72683007,1
198,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,30,above normal,0.090312056,0
199,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,0,below normal,0.9338573,1
200,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,0,normal,0.7496033,1
201,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,0,above normal,0.050504796,0
202,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,15,below normal,0.81637067,1
203,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,15,normal,0.64948094,0
204,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,15,above normal,0.03187306,0
205,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,30,below normal,0.56807715,0
206,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,30,normal,0.3715652,0
207,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,30,above normal,0.022312513,0
208,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,0,below normal,0.76932603,1
209,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,0,normal,0.38059765,0
210,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,0,above normal,0.02112138,0
211,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,15,below normal,0.49363893,0
212,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,15,normal,0.31966928,0
213,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,15,above normal,0.017560085,0
214,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,30,below normal,0.21618383,0
215,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,30,normal,0.17215383,0
216,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,30,above normal,0.014437849,0
217,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,0,below normal,0.99701726,1
218,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,0,normal,0.99644864,1
219,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,0,above normal,0.9474356,1
220,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,15,below normal,0.9914169,1
221,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,15,normal,0.98963696,1
222,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,15,above normal,0.9020911,1
223,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,30,below normal,0.9748071,1
224,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,30,normal,0.9701506,1
225,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,30,above normal,0.824861,1
226,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,0,below normal,0.9861981,1
227,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,0,normal,0.9808202,1
228,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,0,above normal,0.58959436,0
229,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,15,below normal,0.95989776,1
230,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,15,normal,0.9240331,1
231,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,15,above normal,0.4234188,0
232,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,30,below normal,0.86036336,1
233,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,30,normal,0.74314255,1
234,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,30,above normal,0.27293205,0
235,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,0,below normal,0.8888756,1
236,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,0,normal,0.78974074,1
237,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,0,above normal,0.08961123,0
238,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,15,below normal,0.6554817,0
239,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,15,normal,0.4718496,0
240,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,15,above normal,0.05017873,0
241,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,30,below normal,0.37825847,0
242,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,30,normal,0.17525898,0
243,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,30,above normal,0.034643803,0
244,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,0,below normal,0.99926203,1
245,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,0,normal,0.9991548,1
246,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,0,above normal,0.9847209,1
247,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,15,below normal,0.99788994,1
248,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,15,normal,0.99752074,1
249,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,15,above normal,0.9762496,1
250,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,30,below normal,0.9937273,1
251,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,30,normal,0.9926353,1
252,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,30,above normal,0.9545695,1
253,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,0,below normal,0.9965934,1
254,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,0,normal,0.99592257,1
255,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,0,above normal,0.86503226,1
256,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,15,below normal,0.9898991,1
257,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,15,normal,0.98669827,1
258,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,15,above normal,0.7661482,1
259,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,30,below normal,0.9704399,1
260,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,30,normal,0.9463629,1
261,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,30,above normal,0.6261288,0
262,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,0,below normal,0.97991174,1
263,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,0,normal,0.95198196,1
264,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,0,above normal,0.27977008,0
265,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,15,below normal,0.9206523,1
266,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,15,normal,0.83241624,1
267,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,15,above normal,0.17332837,0
268,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,30,below normal,0.73402846,1
269,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,30,normal,0.55446523,0
270,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,30,above normal,0.094698615,0
271,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,0,below normal,0.99911386,1
272,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,0,normal,0.99805933,1
273,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,0,above normal,0.98779374,1
274,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,15,below normal,0.9971976,1
275,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,15,normal,0.992299,1
276,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,15,above normal,0.98042583,1
277,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,30,below normal,0.9889079,1
278,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,30,normal,0.9730886,1
279,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,30,above normal,0.94097716,1
280,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,0,below normal,0.9925188,1
281,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,0,normal,0.9843389,1
282,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,0,above normal,0.91817725,1
283,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,15,below normal,0.9757557,1
284,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,15,normal,0.95211595,1
285,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,15,above normal,0.8988517,1
286,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,30,below normal,0.9242969,1
287,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,30,normal,0.85779405,1
288,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,30,above normal,0.7487508,1
289,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,0,below normal,0.95120454,1
290,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,0,normal,0.88454086,1
291,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,0,above normal,0.55889344,0
292,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,15,below normal,0.87036526,1
293,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,15,normal,0.7683585,1
294,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,15,above normal,0.53882724,0
295,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,30,below normal,0.6707051,0
296,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,30,normal,0.5015622,0
297,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,30,above normal,0.33206087,0
298,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,0,below normal,0.9864281,1
299,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,0,normal,0.68107635,0
300,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,0,above normal,0.024220923,0
301,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,15,below normal,0.92760086,1
302,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,15,normal,0.48640427,0
303,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,15,above normal,0.011683811,0
304,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,30,below normal,0.6449311,0
305,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,30,normal,0.2481435,0
306,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,30,above normal,0.006383752,0
307,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,0,below normal,0.8367424,1
308,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,0,normal,0.15836242,0
309,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,0,above normal,0.004639888,0
310,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,15,below normal,0.6209444,0
