number,driving exp,since,age,gender,education,income,SoC,distance,charging fee,charge
28,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,short,below normal,1
29,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,short,normal,1
30,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,short,above normal,1
31,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,medium,below normal,1
32,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,medium,normal,1
33,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,medium,above normal,1
34,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,long,below normal,1
35,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,long,normal,1
36,1-3 years,2020,41-50,female,doctoral degree,average,10-30%,long,above normal,1
37,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,short,below normal,1
38,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,short,normal,1
39,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,short,above normal,0
40,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,medium,below normal,0
41,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,medium,normal,1
42,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,medium,above normal,0
43,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,long,below normal,1
44,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,long,normal,0
45,1-3 years,2020,41-50,female,doctoral degree,average,31-50%,long,above normal,0
46,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,short,below normal,1
47,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,short,normal,1
48,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,short,above normal,0
49,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,medium,below normal,0
50,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,medium,normal,0
51,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,medium,above normal,0
52,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,long,below normal,0
53,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,long,normal,0
54,1-3 years,2020,41-50,female,doctoral degree,average,51-70%,long,above normal,0
55,5-10 years,2019,18-30,male,high school diploma,average,10-30%,short,below normal,1
56,5-10 years,2019,18-30,male,high school diploma,average,10-30%,short,normal,1
57,5-10 years,2019,18-30,male,high school diploma,average,10-30%,short,above normal,0
58,5-10 years,2019,18-30,male,high school diploma,average,10-30%,medium,below normal,1
59,5-10 years,2019,18-30,male,high school diploma,average,10-30%,medium,normal,0
60,5-10 years,2019,18-30,male,high school diploma,average,10-30%,medium,above normal,0
61,5-10 years,2019,18-30,male,high school diploma,average,10-30%,long,below normal,1
62,5-10 years,2019,18-30,male,high school diploma,average,10-30%,long,normal,0
63,5-10 years,2019,18-30,male,high school diploma,average,10-30%,long,above normal,0
64,5-10 years,2019,18-30,male,high school diploma,average,31-50%,short,below normal,1
65,5-10 years,2019,18-30,male,high school diploma,average,31-50%,short,normal,0
66,5-10 years,2019,18-30,male,high school diploma,average,31-50%,short,above normal,0
67,5-10 years,2019,18-30,male,high school diploma,average,31-50%,medium,below normal,1
68,5-10 years,2019,18-30,male,high school diploma,average,31-50%,medium,normal,0
69,5-10 years,2019,18-30,male,high school diploma,average,31-50%,medium,above normal,0
70,5-10 years,2019,18-30,male,high school diploma,average,31-50%,long,below normal,0
71,5-10 years,2019,18-30,male,high school diploma,average,31-50%,long,normal,0
72,5-10 years,2019,18-30,male,high school diploma,average,31-50%,long,above normal,0
73,5-10 years,2019,18-30,male,high school diploma,average,51-70%,short,below normal,0
74,5-10 years,2019,18-30,male,high school diploma,average,51-70%,short,normal,0
75,5-10 years,2019,18-30,male,high school diploma,average,51-70%,short,above normal,0
76,5-10 years,2019,18-30,male,high school diploma,average,51-70%,medium,below normal,0
77,5-10 years,2019,18-30,male,high school diploma,average,51-70%,medium,normal,0
78,5-10 years,2019,18-30,male,high school diploma,average,51-70%,medium,above normal,0
79,5-10 years,2019,18-30,male,high school diploma,average,51-70%,long,below normal,0
80,5-10 years,2019,18-30,male,high school diploma,average,51-70%,long,normal,0
81,5-10 years,2019,18-30,male,high school diploma,average,51-70%,long,above normal,0
82,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,short,below normal,1
83,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,short,normal,1
84,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,short,above normal,0
85,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,medium,below normal,1
86,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,medium,normal,1
87,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,medium,above normal,1
88,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,long,below normal,1
89,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,long,normal,1
90,1-3 years,2022,31-40,male,bachelor's degree,below average,10-30%,long,above normal,0
91,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,short,below normal,0
92,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,short,normal,1
93,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,short,above normal,0
94,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,medium,below normal,1
95,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,medium,normal,0
96,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,medium,above normal,0
97,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,long,below normal,1
98,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,long,normal,0
99,1-3 years,2022,31-40,male,bachelor's degree,below average,31-50%,long,above normal,0
100,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,short,below normal,1
101,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,short,normal,0
102,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,short,above normal,0
103,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,medium,below normal,1
104,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,medium,normal,0
105,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,medium,above normal,0
106,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,long,below normal,0
107,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,long,normal,0
108,1-3 years,2022,31-40,male,bachelor's degree,below average,51-70%,long,above normal,0
109,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,short,below normal,1
110,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,short,normal,1
111,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,short,above normal,1
112,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,medium,below normal,1
113,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,medium,normal,1
114,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,medium,above normal,1
115,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,long,below normal,1
116,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,long,normal,1
117,less than a year,2016,50-60,male,bachelor's degree,average,10-30%,long,above normal,1
118,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,short,below normal,1
119,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,short,normal,1
120,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,short,above normal,0
121,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,medium,below normal,1
122,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,medium,normal,0
123,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,medium,above normal,0
124,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,long,below normal,1
125,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,long,normal,0
126,less than a year,2016,50-60,male,bachelor's degree,average,31-50%,long,above normal,0
127,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,short,below normal,0
128,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,short,normal,0
129,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,short,above normal,0
130,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,medium,below normal,0
131,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,medium,normal,0
132,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,medium,above normal,0
133,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,long,below normal,0
134,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,long,normal,0
135,less than a year,2016,50-60,male,bachelor's degree,average,51-70%,long,above normal,0
136,less than a year,2020,41-50,male,master's degree,below average,10-30%,short,below normal,1
137,less than a year,2020,41-50,male,master's degree,below average,10-30%,short,normal,0
138,less than a year,2020,41-50,male,master's degree,below average,10-30%,short,above normal,1
139,less than a year,2020,41-50,male,master's degree,below average,10-30%,medium,below normal,1
140,less than a year,2020,41-50,male,master's degree,below average,10-30%,medium,normal,1
141,less than a year,2020,41-50,male,master's degree,below average,10-30%,medium,above normal,0
142,less than a year,2020,41-50,male,master's degree,below average,10-30%,long,below normal,1
143,less than a year,2020,41-50,male,master's degree,below average,10-30%,long,normal,1
144,less than a year,2020,41-50,male,master's degree,below average,10-30%,long,above normal,0
145,less than a year,2020,41-50,male,master's degree,below average,31-50%,short,below normal,1
146,less than a year,2020,41-50,male,master's degree,below average,31-50%,short,normal,0
147,less than a year,2020,41-50,male,master's degree,below average,31-50%,short,above normal,0
148,less than a year,2020,41-50,male,master's degree,below average,31-50%,medium,below normal,1
149,less than a year,2020,41-50,male,master's degree,below average,31-50%,medium,normal,1
150,less than a year,2020,41-50,male,master's degree,below average,31-50%,medium,above normal,0
151,less than a year,2020,41-50,male,master's degree,below average,31-50%,long,below normal,1
152,less than a year,2020,41-50,male,master's degree,below average,31-50%,long,normal,1
153,less than a year,2020,41-50,male,master's degree,below average,31-50%,long,above normal,0
154,less than a year,2020,41-50,male,master's degree,below average,51-70%,short,below normal,1
155,less than a year,2020,41-50,male,master's degree,below average,51-70%,short,normal,1
156,less than a year,2020,41-50,male,master's degree,below average,51-70%,short,above normal,0
157,less than a year,2020,41-50,male,master's degree,below average,51-70%,medium,below normal,1
158,less than a year,2020,41-50,male,master's degree,below average,51-70%,medium,normal,0
159,less than a year,2020,41-50,male,master's degree,below average,51-70%,medium,above normal,0
160,less than a year,2020,41-50,male,master's degree,below average,51-70%,long,below normal,0
161,less than a year,2020,41-50,male,master's degree,below average,51-70%,long,normal,0
162,less than a year,2020,41-50,male,master's degree,below average,51-70%,long,above normal,0
163,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,short,below normal,1
164,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,short,normal,1
165,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,short,above normal,1
166,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,medium,below normal,1
167,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,medium,normal,1
168,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,medium,above normal,1
169,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,long,below normal,1
170,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,long,normal,1
171,5-10 years,2022,41-50,male,high school diploma,above average,10-30%,long,above normal,1
172,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,short,below normal,0
173,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,short,normal,1
174,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,short,above normal,1
175,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,medium,below normal,1
176,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,medium,normal,1
177,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,medium,above normal,1
178,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,long,below normal,1
179,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,long,normal,1
180,5-10 years,2022,41-50,male,high school diploma,above average,31-50%,long,above normal,0
181,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,short,below normal,0
182,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,short,normal,1
183,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,short,above normal,0
184,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,medium,below normal,1
185,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,medium,normal,0
186,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,medium,above normal,0
187,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,long,below normal,0
188,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,long,normal,0
189,5-10 years,2022,41-50,male,high school diploma,above average,51-70%,long,above normal,0
190,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,short,below normal,0
191,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,short,normal,1
192,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,short,above normal,0
193,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,medium,below normal,0
194,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,medium,normal,1
195,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,medium,above normal,0
196,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,long,below normal,1
197,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,long,normal,1
198,3-5 years,2021,18-30,male,below high school diploma,average,10-30%,long,above normal,0
199,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,short,below normal,1
200,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,short,normal,1
201,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,short,above normal,0
202,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,medium,below normal,1
203,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,medium,normal,0
204,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,medium,above normal,0
205,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,long,below normal,0
206,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,long,normal,0
207,3-5 years,2021,18-30,male,below high school diploma,average,31-50%,long,above normal,0
208,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,short,below normal,1
209,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,short,normal,0
210,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,short,above normal,0
211,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,medium,below normal,0
212,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,medium,normal,0
213,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,medium,above normal,0
214,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,long,below normal,0
215,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,long,normal,0
216,3-5 years,2021,18-30,male,below high school diploma,average,51-70%,long,above normal,0
217,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,short,below normal,1
218,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,short,normal,1
219,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,short,above normal,1
220,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,medium,below normal,0
221,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,medium,normal,1
222,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,medium,above normal,1
223,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,long,below normal,1
224,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,long,normal,1
225,less than a year,2020,41-50,male,bachelor's degree,average,10-30%,long,above normal,1
226,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,short,below normal,1
227,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,short,normal,0
228,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,short,above normal,0
229,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,medium,below normal,1
230,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,medium,normal,1
231,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,medium,above normal,0
232,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,long,below normal,0
233,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,long,normal,1
234,less than a year,2020,41-50,male,bachelor's degree,average,31-50%,long,above normal,0
235,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,short,below normal,1
236,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,short,normal,1
237,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,short,above normal,1
238,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,medium,below normal,0
239,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,medium,normal,0
240,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,medium,above normal,0
241,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,long,below normal,0
242,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,long,normal,0
243,less than a year,2020,41-50,male,bachelor's degree,average,51-70%,long,above normal,0
244,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,short,below normal,1
245,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,short,normal,0
246,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,short,above normal,1
247,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,medium,below normal,1
248,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,medium,normal,1
249,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,medium,above normal,1
250,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,long,below normal,1
251,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,long,normal,1
252,1-3 years,2022,50-60,male,bachelor's degree,average,10-30%,long,above normal,1
253,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,short,below normal,1
254,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,short,normal,1
255,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,short,above normal,1
256,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,medium,below normal,1
257,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,medium,normal,0
258,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,medium,above normal,1
259,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,long,below normal,1
260,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,long,normal,1
261,1-3 years,2022,50-60,male,bachelor's degree,average,31-50%,long,above normal,0
262,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,short,below normal,1
263,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,short,normal,1
264,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,short,above normal,0
265,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,medium,below normal,1
266,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,medium,normal,1
267,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,medium,above normal,0
268,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,long,below normal,1
269,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,long,normal,0
270,1-3 years,2022,50-60,male,bachelor's degree,average,51-70%,long,above normal,0
271,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,short,below normal,1
272,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,short,normal,1
273,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,short,above normal,1
274,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,medium,below normal,1
275,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,medium,normal,1
276,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,medium,above normal,1
277,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,long,below normal,1
278,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,long,normal,0
279,5-10 years,2022,50-60,male,bachelor's degree,above average,10-30%,long,above normal,1
280,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,short,below normal,1
281,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,short,normal,1
282,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,short,above normal,1
283,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,medium,below normal,1
284,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,medium,normal,0
285,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,medium,above normal,1
286,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,long,below normal,1
287,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,long,normal,1
288,5-10 years,2022,50-60,male,bachelor's degree,above average,31-50%,long,above normal,0
289,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,short,below normal,1
290,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,short,normal,1
291,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,short,above normal,0
292,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,medium,below normal,1
293,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,medium,normal,1
294,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,medium,above normal,0
295,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,long,below normal,0
296,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,long,normal,0
297,5-10 years,2022,50-60,male,bachelor's degree,above average,51-70%,long,above normal,0
298,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,short,below normal,0
299,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,short,normal,0
300,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,short,above normal,0
301,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,medium,below normal,1
302,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,medium,normal,0
303,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,medium,above normal,0
304,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,long,below normal,0
305,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,long,normal,0
306,1-3 years,2017,31-40,male,high school diploma,below average,10-30%,long,above normal,0
307,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,short,below normal,1
308,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,short,normal,0
309,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,short,above normal,0
310,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,medium,below normal,0
311,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,medium,normal,0
312,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,medium,above normal,0
313,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,long,below normal,0
314,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,long,normal,0
315,1-3 years,2017,31-40,male,high school diploma,below average,31-50%,long,above normal,0
316,1-3 years,2017,31-40,male,high school diploma,below average,51-70%,short,below normal,0
317,1-3 years,2017,31-40,male,high school diploma,below average,51-70%,short,normal,0
318,1-3 years,2017,31-40,male,high school diploma,below average,51-70%,short,above normal,0
319,1-3 years,2017,31-40,male,high school diploma,below average,51-70%,medium,below normal,0
320,1-3 years,2017,31-40,male,high school diploma,below average,51-70%,medium,normal,0
321,1-3 years,2017,31-40,male,high school diploma,below average,51-70%,medium,above normal,0
322,1-3 years,2017,31-40,male,high school diploma,below average,51-70%,long,below normal,0
323,1-3 years,2017,31-40,male,high school diploma,below average,51-70%,long,normal,0
324,1-3 years,2017,31-40,male,high school diploma,below average,51-70%,long,above normal,0
325,3-5 years,2022,31-40,female,bachelor's degree,average,10-30%,short,below normal,1
326,3-5 years,2022,31-40,female,bachelor's degree,average,10-30%,short,normal,1
327,3-5 years,2022,31-40,female,bachelor's degree,average,10-30%,short,above normal,0
328,3-5 years,2022,31-40,female,bachelor's degree,average,10-30%,medium,below normal,0
329,3-5 years,2022,31-40,female,bachelor's degree,average,10-30%,medium,normal,1
330,3-5 years,2022,31-40,female,bachelor's degree,average,10-30%,medium,above normal,0
331,3-5 years,2022,31-40,female,bachelor's degree,average,10-30%,long,below normal,0
332,3-5 years,2022,31-40,female,bachelor's degree,average,10-30%,long,normal,1
333,3-5 years,2022,31-40,female,bachelor's degree,average,10-30%,long,above normal,0
334,3-5 years,2022,31-40,female,bachelor's degree,average,31-50%,short,below normal,1
335,3-5 years,2022,31-40,female,bachelor's degree,average,31-50%,short,normal,1
336,3-5 years,2022,31-40,female,bachelor's degree,average,31-50%,short,above normal,0
337,3-5 years,2022,31-40,female,bachelor's degree,average,31-50%,medium,below normal,1
338,3-5 years,2022,31-40,female,bachelor's degree,average,31-50%,medium,normal,1
339,3-5 years,2022,31-40,female,bachelor's degree,average,31-50%,medium,above normal,0
340,3-5 years,2022,31-40,female,bachelor's degree,average,31-50%,long,below normal,1
341,3-5 years,2022,31-40,female,bachelor's degree,average,31-50%,long,normal,0
342,3-5 years,2022,31-40,female,bachelor's degree,average,31-50%,long,above normal,0
343,3-5 years,2022,31-40,female,bachelor's degree,average,51-70%,short,below normal,1
344,3-5 years,2022,31-40,female,bachelor's degree,average,51-70%,short,normal,0
345,3-5 years,2022,31-40,female,bachelor's degree,average,51-70%,short,above normal,0
346,3-5 years,2022,31-40,female,bachelor's degree,average,51-70%,medium,below normal,0
347,3-5 years,2022,31-40,female,bachelor's degree,average,51-70%,medium,normal,0
348,3-5 years,2022,31-40,female,bachelor's degree,average,51-70%,medium,above normal,0
349,3-5 years,2022,31-40,female,bachelor's degree,average,51-70%,long,below normal,0
350,3-5 years,2022,31-40,female,bachelor's degree,average,51-70%,long,normal,0
351,3-5 years,2022,31-40,female,bachelor's degree,average,51-70%,long,above normal,0
352,more than 10 years,2016,41-50,male,high school diploma,above average,10-30%,short,below normal,0
353,more than 10 years,2016,41-50,male,high school diploma,above average,10-30%,short,normal,0
354,more than 10 years,2016,41-50,male,high school diploma,above average,10-30%,short,above normal,1
355,more than 10 years,2016,41-50,male,high school diploma,above average,10-30%,medium,below normal,1
