,driving exp,since when are you using electric vehicles?,age,gender,education,income,SoC,queuing time,charging fee
97,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
98,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
99,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
100,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
101,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
102,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
103,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
104,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
105,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
106,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
107,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
108,1-3 years,2022,31-40,male,bachelor's degree,below average,,,
109,less than a year,2016,50-60,male,bachelor's degree,average,,,
110,less than a year,2016,50-60,male,bachelor's degree,average,,,
111,less than a year,2016,50-60,male,bachelor's degree,average,,,
112,less than a year,2016,50-60,male,bachelor's degree,average,,,
113,less than a year,2016,50-60,male,bachelor's degree,average,,,
114,less than a year,2016,50-60,male,bachelor's degree,average,,,
115,less than a year,2016,50-60,male,bachelor's degree,average,,,
116,less than a year,2016,50-60,male,bachelor's degree,average,,,
117,less than a year,2016,50-60,male,bachelor's degree,average,,,
118,less than a year,2016,50-60,male,bachelor's degree,average,,,
119,less than a year,2016,50-60,male,bachelor's degree,average,,,
120,less than a year,2016,50-60,male,bachelor's degree,average,,,
121,less than a year,2016,50-60,male,bachelor's degree,average,,,
122,less than a year,2016,50-60,male,bachelor's degree,average,,,
123,less than a year,2016,50-60,male,bachelor's degree,average,,,
124,less than a year,2016,50-60,male,bachelor's degree,average,,,
125,less than a year,2016,50-60,male,bachelor's degree,average,,,
126,less than a year,2016,50-60,male,bachelor's degree,average,,,
127,less than a year,2016,50-60,male,bachelor's degree,average,,,
128,less than a year,2016,50-60,male,bachelor's degree,average,,,
129,less than a year,2016,50-60,male,bachelor's degree,average,,,
130,less than a year,2016,50-60,male,bachelor's degree,average,,,
131,less than a year,2016,50-60,male,bachelor's degree,average,,,
132,less than a year,2016,50-60,male,bachelor's degree,average,,,
133,less than a year,2016,50-60,male,bachelor's degree,average,,,
134,less than a year,2016,50-60,male,bachelor's degree,average,,,
135,less than a year,2016,50-60,male,bachelor's degree,average,,,
136,less than a year,2020,41-50,male,master's degree,below average,,,
137,less than a year,2020,41-50,male,master's degree,below average,,,
138,less than a year,2020,41-50,male,master's degree,below average,,,
139,less than a year,2020,41-50,male,master's degree,below average,,,
140,less than a year,2020,41-50,male,master's degree,below average,,,
141,less than a year,2020,41-50,male,master's degree,below average,,,
142,less than a year,2020,41-50,male,master's degree,below average,,,
143,less than a year,2020,41-50,male,master's degree,below average,,,
144,less than a year,2020,41-50,male,master's degree,below average,,,
145,less than a year,2020,41-50,male,master's degree,below average,,,
146,less than a year,2020,41-50,male,master's degree,below average,,,
147,less than a year,2020,41-50,male,master's degree,below average,,,
148,less than a year,2020,41-50,male,master's degree,below average,,,
149,less than a year,2020,41-50,male,master's degree,below average,,,
150,less than a year,2020,41-50,male,master's degree,below average,,,
151,less than a year,2020,41-50,male,master's degree,below average,,,
152,less than a year,2020,41-50,male,master's degree,below average,,,
153,less than a year,2020,41-50,male,master's degree,below average,,,
154,less than a year,2020,41-50,male,master's degree,below average,,,
155,less than a year,2020,41-50,male,master's degree,below average,,,
156,less than a year,2020,41-50,male,master's degree,below average,,,
157,less than a year,2020,41-50,male,master's degree,below average,,,
158,less than a year,2020,41-50,male,master's degree,below average,,,
159,less than a year,2020,41-50,male,master's degree,below average,,,
160,less than a year,2020,41-50,male,master's degree,below average,,,
161,less than a year,2020,41-50,male,master's degree,below average,,,
162,less than a year,2020,41-50,male,master's degree,below average,,,
163,5-10 years,2022,41-50,male,high school diploma,above average,,,
164,5-10 years,2022,41-50,male,high school diploma,above average,,,
165,5-10 years,2022,41-50,male,high school diploma,above average,,,
166,5-10 years,2022,41-50,male,high school diploma,above average,,,
167,5-10 years,2022,41-50,male,high school diploma,above average,,,
168,5-10 years,2022,41-50,male,high school diploma,above average,,,
169,5-10 years,2022,41-50,male,high school diploma,above average,,,
170,5-10 years,2022,41-50,male,high school diploma,above average,,,
171,5-10 years,2022,41-50,male,high school diploma,above average,,,
172,5-10 years,2022,41-50,male,high school diploma,above average,,,
173,5-10 years,2022,41-50,male,high school diploma,above average,,,
174,5-10 years,2022,41-50,male,high school diploma,above average,,,
175,5-10 years,2022,41-50,male,high school diploma,above average,,,
176,5-10 years,2022,41-50,male,high school diploma,above average,,,
177,5-10 years,2022,41-50,male,high school diploma,above average,,,
178,5-10 years,2022,41-50,male,high school diploma,above average,,,
179,5-10 years,2022,41-50,male,high school diploma,above average,,,
180,5-10 years,2022,41-50,male,high school diploma,above average,,,
181,5-10 years,2022,41-50,male,high school diploma,above average,,,
182,5-10 years,2022,41-50,male,high school diploma,above average,,,
183,5-10 years,2022,41-50,male,high school diploma,above average,,,
184,5-10 years,2022,41-50,male,high school diploma,above average,,,
185,5-10 years,2022,41-50,male,high school diploma,above average,,,
186,5-10 years,2022,41-50,male,high school diploma,above average,,,
187,5-10 years,2022,41-50,male,high school diploma,above average,,,
188,5-10 years,2022,41-50,male,high school diploma,above average,,,
189,5-10 years,2022,41-50,male,high school diploma,above average,,,
190,3-5 years,2021,18-30,male,below high school diploma,average,,,
191,3-5 years,2021,18-30,male,below high school diploma,average,,,
192,3-5 years,2021,18-30,male,below high school diploma,average,,,
193,3-5 years,2021,18-30,male,below high school diploma,average,,,
194,3-5 years,2021,18-30,male,below high school diploma,average,,,
195,3-5 years,2021,18-30,male,below high school diploma,average,,,
196,3-5 years,2021,18-30,male,below high school diploma,average,,,
197,3-5 years,2021,18-30,male,below high school diploma,average,,,
198,3-5 years,2021,18-30,male,below high school diploma,average,,,
199,3-5 years,2021,18-30,male,below high school diploma,average,,,
200,3-5 years,2021,18-30,male,below high school diploma,average,,,
201,3-5 years,2021,18-30,male,below high school diploma,average,,,
202,3-5 years,2021,18-30,male,below high school diploma,average,,,
203,3-5 years,2021,18-30,male,below high school diploma,average,,,
204,3-5 years,2021,18-30,male,below high school diploma,average,,,
205,3-5 years,2021,18-30,male,below high school diploma,average,,,
206,3-5 years,2021,18-30,male,below high school diploma,average,,,
207,3-5 years,2021,18-30,male,below high school diploma,average,,,
208,3-5 years,2021,18-30,male,below high school diploma,average,,,
209,3-5 years,2021,18-30,male,below high school diploma,average,,,
210,3-5 years,2021,18-30,male,below high school diploma,average,,,
211,3-5 years,2021,18-30,male,below high school diploma,average,,,
212,3-5 years,2021,18-30,male,below high school diploma,average,,,
213,3-5 years,2021,18-30,male,below high school diploma,average,,,
214,3-5 years,2021,18-30,male,below high school diploma,average,,,
215,3-5 years,2021,18-30,male,below high school diploma,average,,,
216,3-5 years,2021,18-30,male,below high school diploma,average,,,
217,less than a year,2020,41-50,male,bachelor's degree,average,,,
218,less than a year,2020,41-50,male,bachelor's degree,average,,,
219,less than a year,2020,41-50,male,bachelor's degree,average,,,
220,less than a year,2020,41-50,male,bachelor's degree,average,,,
221,less than a year,2020,41-50,male,bachelor's degree,average,,,
222,less than a year,2020,41-50,male,bachelor's degree,average,,,
223,less than a year,2020,41-50,male,bachelor's degree,average,,,
224,less than a year,2020,41-50,male,bachelor's degree,average,,,
225,less than a year,2020,41-50,male,bachelor's degree,average,,,
226,less than a year,2020,41-50,male,bachelor's degree,average,,,
227,less than a year,2020,41-50,male,bachelor's degree,average,,,
228,less than a year,2020,41-50,male,bachelor's degree,average,,,
229,less than a year,2020,41-50,male,bachelor's degree,average,,,
230,less than a year,2020,41-50,male,bachelor's degree,average,,,
231,less than a year,2020,41-50,male,bachelor's degree,average,,,
232,less than a year,2020,41-50,male,bachelor's degree,average,,,
233,less than a year,2020,41-50,male,bachelor's degree,average,,,
234,less than a year,2020,41-50,male,bachelor's degree,average,,,
235,less than a year,2020,41-50,male,bachelor's degree,average,,,
236,less than a year,2020,41-50,male,bachelor's degree,average,,,
237,less than a year,2020,41-50,male,bachelor's degree,average,,,
238,less than a year,2020,41-50,male,bachelor's degree,average,,,
239,less than a year,2020,41-50,male,bachelor's degree,average,,,
240,less than a year,2020,41-50,male,bachelor's degree,average,,,
241,less than a year,2020,41-50,male,bachelor's degree,average,,,
242,less than a year,2020,41-50,male,bachelor's degree,average,,,
243,less than a year,2020,41-50,male,bachelor's degree,average,,,
244,1-3 years,2022,50-60,male,bachelor's degree,average,,,
245,1-3 years,2022,50-60,male,bachelor's degree,average,,,
246,1-3 years,2022,50-60,male,bachelor's degree,average,,,
247,1-3 years,2022,50-60,male,bachelor's degree,average,,,
248,1-3 years,2022,50-60,male,bachelor's degree,average,,,
249,1-3 years,2022,50-60,male,bachelor's degree,average,,,
250,1-3 years,2022,50-60,male,bachelor's degree,average,,,
251,1-3 years,2022,50-60,male,bachelor's degree,average,,,
252,1-3 years,2022,50-60,male,bachelor's degree,average,,,
253,1-3 years,2022,50-60,male,bachelor's degree,average,,,
254,1-3 years,2022,50-60,male,bachelor's degree,average,,,
255,1-3 years,2022,50-60,male,bachelor's degree,average,,,
256,1-3 years,2022,50-60,male,bachelor's degree,average,,,
257,1-3 years,2022,50-60,male,bachelor's degree,average,,,
258,1-3 years,2022,50-60,male,bachelor's degree,average,,,
259,1-3 years,2022,50-60,male,bachelor's degree,average,,,
260,1-3 years,2022,50-60,male,bachelor's degree,average,,,
261,1-3 years,2022,50-60,male,bachelor's degree,average,,,
262,1-3 years,2022,50-60,male,bachelor's degree,average,,,
263,1-3 years,2022,50-60,male,bachelor's degree,average,,,
264,1-3 years,2022,50-60,male,bachelor's degree,average,,,
265,1-3 years,2022,50-60,male,bachelor's degree,average,,,
266,1-3 years,2022,50-60,male,bachelor's degree,average,,,
267,1-3 years,2022,50-60,male,bachelor's degree,average,,,
268,1-3 years,2022,50-60,male,bachelor's degree,average,,,
269,1-3 years,2022,50-60,male,bachelor's degree,average,,,
270,1-3 years,2022,50-60,male,bachelor's degree,average,,,
271,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
272,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
273,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
274,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
275,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
276,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
277,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
278,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
279,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
280,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
281,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
282,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
283,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
284,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
285,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
286,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
287,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
288,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
289,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
290,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
291,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
292,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
293,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
294,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
295,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
296,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
297,5-10 years,2022,50-60,male,bachelor's degree,above average,,,
298,1-3 years,2017,31-40,male,high school diploma,below average,,,
299,1-3 years,2017,31-40,male,high school diploma,below average,,,
300,1-3 years,2017,31-40,male,high school diploma,below average,,,
301,1-3 years,2017,31-40,male,high school diploma,below average,,,
302,1-3 years,2017,31-40,male,high school diploma,below average,,,
303,1-3 years,2017,31-40,male,high school diploma,below average,,,
304,1-3 years,2017,31-40,male,high school diploma,below average,,,
305,1-3 years,2017,31-40,male,high school diploma,below average,,,
306,1-3 years,2017,31-40,male,high school diploma,below average,,,
307,1-3 years,2017,31-40,male,high school diploma,below average,,,
308,1-3 years,2017,31-40,male,high school diploma,below average,,,
309,1-3 years,2017,31-40,male,high school diploma,below average,,,
310,1-3 years,2017,31-40,male,high school diploma,below average,,,
311,1-3 years,2017,31-40,male,high school diploma,below average,,,
312,1-3 years,2017,31-40,male,high school diploma,below average,,,
313,1-3 years,2017,31-40,male,high school diploma,below average,,,
314,1-3 years,2017,31-40,male,high school diploma,below average,,,
315,1-3 years,2017,31-40,male,high school diploma,below average,,,
316,1-3 years,2017,31-40,male,high school diploma,below average,,,
317,1-3 years,2017,31-40,male,high school diploma,below average,,,
318,1-3 years,2017,31-40,male,high school diploma,below average,,,
319,1-3 years,2017,31-40,male,high school diploma,below average,,,
320,1-3 years,2017,31-40,male,high school diploma,below average,,,
321,1-3 years,2017,31-40,male,high school diploma,below average,,,
322,1-3 years,2017,31-40,male,high school diploma,below average,,,
323,1-3 years,2017,31-40,male,high school diploma,below average,,,
324,1-3 years,2017,31-40,male,high school diploma,below average,,,
325,3-5 years,2022,31-40,female,bachelor's degree,average,,,
326,3-5 years,2022,31-40,female,bachelor's degree,average,,,
327,3-5 years,2022,31-40,female,bachelor's degree,average,,,
328,3-5 years,2022,31-40,female,bachelor's degree,average,,,
329,3-5 years,2022,31-40,female,bachelor's degree,average,,,
330,3-5 years,2022,31-40,female,bachelor's degree,average,,,
331,3-5 years,2022,31-40,female,bachelor's degree,average,,,
332,3-5 years,2022,31-40,female,bachelor's degree,average,,,
333,3-5 years,2022,31-40,female,bachelor's degree,average,,,
334,3-5 years,2022,31-40,female,bachelor's degree,average,,,
335,3-5 years,2022,31-40,female,bachelor's degree,average,,,
336,3-5 years,2022,31-40,female,bachelor's degree,average,,,
337,3-5 years,2022,31-40,female,bachelor's degree,average,,,
338,3-5 years,2022,31-40,female,bachelor's degree,average,,,
339,3-5 years,2022,31-40,female,bachelor's degree,average,,,
340,3-5 years,2022,31-40,female,bachelor's degree,average,,,
341,3-5 years,2022,31-40,female,bachelor's degree,average,,,
342,3-5 years,2022,31-40,female,bachelor's degree,average,,,
343,3-5 years,2022,31-40,female,bachelor's degree,average,,,
344,3-5 years,2022,31-40,female,bachelor's degree,average,,,
345,3-5 years,2022,31-40,female,bachelor's degree,average,,,
346,3-5 years,2022,31-40,female,bachelor's degree,average,,,
347,3-5 years,2022,31-40,female,bachelor's degree,average,,,
348,3-5 years,2022,31-40,female,bachelor's degree,average,,,
349,3-5 years,2022,31-40,female,bachelor's degree,average,,,
350,3-5 years,2022,31-40,female,bachelor's degree,average,,,
351,3-5 years,2022,31-40,female,bachelor's degree,average,,,
352,more than 10 years,2016,41-50,male,high school diploma,above average,,,
353,more than 10 years,2016,41-50,male,high school diploma,above average,,,
354,more than 10 years,2016,41-50,male,high school diploma,above average,,,
355,more than 10 years,2016,41-50,male,high school diploma,above average,,,
356,more than 10 years,2016,41-50,male,high school diploma,above average,,,
357,more than 10 years,2016,41-50,male,high school diploma,above average,,,
358,more than 10 years,2016,41-50,male,high school diploma,above average,,,
359,more than 10 years,2016,41-50,male,high school diploma,above average,,,
360,more than 10 years,2016,41-50,male,high school diploma,above average,,,
361,more than 10 years,2016,41-50,male,high school diploma,above average,,,
362,more than 10 years,2016,41-50,male,high school diploma,above average,,,
363,more than 10 years,2016,41-50,male,high school diploma,above average,,,
364,more than 10 years,2016,41-50,male,high school diploma,above average,,,
365,more than 10 years,2016,41-50,male,high school diploma,above average,,,
366,more than 10 years,2016,41-50,male,high school diploma,above average,,,
367,more than 10 years,2016,41-50,male,high school diploma,above average,,,
368,more than 10 years,2016,41-50,male,high school diploma,above average,,,
369,more than 10 years,2016,41-50,male,high school diploma,above average,,,
370,more than 10 years,2016,41-50,male,high school diploma,above average,,,
371,more than 10 years,2016,41-50,male,high school diploma,above average,,,
372,more than 10 years,2016,41-50,male,high school diploma,above average,,,
373,more than 10 years,2016,41-50,male,high school diploma,above average,,,
374,more than 10 years,2016,41-50,male,high school diploma,above average,,,
375,more than 10 years,2016,41-50,male,high school diploma,above average,,,
376,more than 10 years,2016,41-50,male,high school diploma,above average,,,
377,more than 10 years,2016,41-50,male,high school diploma,above average,,,
378,more than 10 years,2016,41-50,male,high school diploma,above average,,,
379,less than a year,2016,31-40,male,master's degree,above average,,,
380,less than a year,2016,31-40,male,master's degree,above average,,,
381,less than a year,2016,31-40,male,master's degree,above average,,,
382,less than a year,2016,31-40,male,master's degree,above average,,,
383,less than a year,2016,31-40,male,master's degree,above average,,,
384,less than a year,2016,31-40,male,master's degree,above average,,,
385,less than a year,2016,31-40,male,master's degree,above average,,,
386,less than a year,2016,31-40,male,master's degree,above average,,,
387,less than a year,2016,31-40,male,master's degree,above average,,,
388,less than a year,2016,31-40,male,master's degree,above average,,,
389,less than a year,2016,31-40,male,master's degree,above average,,,
390,less than a year,2016,31-40,male,master's degree,above average,,,
391,less than a year,2016,31-40,male,master's degree,above average,,,
392,less than a year,2016,31-40,male,master's degree,above average,,,
393,less than a year,2016,31-40,male,master's degree,above average,,,
394,less than a year,2016,31-40,male,master's degree,above average,,,
395,less than a year,2016,31-40,male,master's degree,above average,,,
396,less than a year,2016,31-40,male,master's degree,above average,,,
397,less than a year,2016,31-40,male,master's degree,above average,,,
398,less than a year,2016,31-40,male,master's degree,above average,,,
399,less than a year,2016,31-40,male,master's degree,above average,,,
400,less than a year,2016,31-40,male,master's degree,above average,,,
401,less than a year,2016,31-40,male,master's degree,above average,,,
402,less than a year,2016,31-40,male,master's degree,above average,,,
403,less than a year,2016,31-40,male,master's degree,above average,,,
404,less than a year,2016,31-40,male,master's degree,above average,,,
405,less than a year,2016,31-40,male,master's degree,above average,,,
406,less than a year,2022,above 60,male,bachelor's degree,average,,,
407,less than a year,2022,above 60,male,bachelor's degree,average,,,
408,less than a year,2022,above 60,male,bachelor's degree,average,,,
409,less than a year,2022,above 60,male,bachelor's degree,average,,,
410,less than a year,2022,above 60,male,bachelor's degree,average,,,
411,less than a year,2022,above 60,male,bachelor's degree,average,,,
412,less than a year,2022,above 60,male,bachelor's degree,average,,,
413,less than a year,2022,above 60,male,bachelor's degree,average,,,
414,less than a year,2022,above 60,male,bachelor's degree,average,,,
415,less than a year,2022,above 60,male,bachelor's degree,average,,,
416,less than a year,2022,above 60,male,bachelor's degree,average,,,
417,less than a year,2022,above 60,male,bachelor's degree,average,,,
418,less than a year,2022,above 60,male,bachelor's degree,average,,,
419,less than a year,2022,above 60,male,bachelor's degree,average,,,
420,less than a year,2022,above 60,male,bachelor's degree,average,,,
421,less than a year,2022,above 60,male,bachelor's degree,average,,,
422,less than a year,2022,above 60,male,bachelor's degree,average,,,
423,less than a year,2022,above 60,male,bachelor's degree,average,,,
424,less than a year,2022,above 60,male,bachelor's degree,average,,,
425,less than a year,2022,above 60,male,bachelor's degree,average,,,
426,less than a year,2022,above 60,male,bachelor's degree,average,,,
427,less than a year,2022,above 60,male,bachelor's degree,average,,,
428,less than a year,2022,above 60,male,bachelor's degree,average,,,
429,less than a year,2022,above 60,male,bachelor's degree,average,,,
430,less than a year,2022,above 60,male,bachelor's degree,average,,,
431,less than a year,2022,above 60,male,bachelor's degree,average,,,
432,less than a year,2022,above 60,male,bachelor's degree,average,,,
433,less than a year,2021,50-60,female,doctoral degree,below average,10-30%,0,below normal
434,less than a year,2021,50-60,female,doctoral degree,below average,10-30%,0,normal
435,less than a year,2021,50-60,female,doctoral degree,below average,10-30%,0,above normal
436,less than a year,2021,50-60,female,doctoral degree,below average,10-30%,15,below normal
437,less than a year,2021,50-60,female,doctoral degree,below average,10-30%,15,normal
438,less than a year,2021,50-60,female,doctoral degree,below average,10-30%,15,above normal
439,less than a year,2021,50-60,female,doctoral degree,below average,10-30%,30,below normal
440,less than a year,2021,50-60,female,doctoral degree,below average,10-30%,30,normal
441,less than a year,2021,50-60,female,doctoral degree,below average,10-30%,30,above normal
442,less than a year,2021,50-60,female,doctoral degree,below average,31-50%,0,below normal
443,less than a year,2021,50-60,female,doctoral degree,below average,31-50%,0,normal
444,less than a year,2021,50-60,female,doctoral degree,below average,31-50%,0,above normal
445,less than a year,2021,50-60,female,doctoral degree,below average,31-50%,15,below normal
446,less than a year,2021,50-60,female,doctoral degree,below average,31-50%,15,normal
447,less than a year,2021,50-60,female,doctoral degree,below average,31-50%,15,above normal
448,less than a year,2021,50-60,female,doctoral degree,below average,31-50%,30,below normal
449,less than a year,2021,50-60,female,doctoral degree,below average,31-50%,30,normal
450,less than a year,2021,50-60,female,doctoral degree,below average,31-50%,30,above normal
451,less than a year,2021,50-60,female,doctoral degree,below average,51-70%,0,below normal
